id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
271972435,1237118640452,"Nội dung quảng cáoiPhone 15 Pro. Được đúc từ titan và trang bị chip A17 Pro đột phá, nút Tác Vụ có thể tùy chỉnh, và hệ thống camera chuyên nghiệp linh hoạt hơn. Tính năng nổi bậtĐƯỢC ĐÚC TỪ TI...",27490000,27490000,,0,0,23,,available,,1000,1000,,17827,Apple
183330021,7453477983299,"Nội dung quảng cáoMạnh mẽ. Dễ sử dụng. Linh hoạt. iPad có màn hình Retina 10.2 inch tuyệt đẹp, chip A13 Bionic mạnh mẽ, camera trước Ultra Wide có tính năng Trung Tâm Màn Hình, tương thích với Apple ...",6990000,10990000,,4000000,36,867,,available,,1000,1000,,17827,Apple
125182567,4604296397887,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,3410000,3990000,,580000,15,353,,available,,1000,1000,,147856,Kindle
197670818,2942333865801,"Rộng mở thêm trải nghiệmGiải trí bất tận mỗi ngày, thoải mái thưởng thức nhiều nội dung hơn với màn hình tràn viền vô cực Infinity-V 6,5inch trên Điện thoại Samsung Galaxy A04s. Tận hưởng nội dung hi...",2890000,3990000,,1100000,28,47,,available,,1000,1000,,18802,Samsung
214756058,5239906950205,"Sản phẩm đầu tiên thuộc dòng basic có độ phân giải 300ppiMáy đọc sách New Kindle 11th 2022 (16GB) được nâng cấp với màn hình độ phân giải 300ppi (so với 167ppi) của đời trước, cổng kết nối USB-Type C...",2650000,3190000,,540000,17,47,,available,,1000,1000,,147856,Kindle
201067649,6927586640656, ...,3390000,3990000,,600000,15,101,,available,,1000,1000,,147856,Kindle
181928619,6795214532367,"Màn hình LCD 1.6” hiển thị rõ nét, đèn màn hình màu cam.- Danh bạ lưu 50 tên và số, chia sẻ danh bạ giữa các tay con- Hiển thị 50 số gọi đến- Nhớ 10 số gọi đi- 6 số gọi nhanh- Đàm thoại 3 bên- Loa ...",990000,990000,,0,0,13,,available,,1000,1000,,18804,Panasonic
226552005,5087831143894,"– Nhớ 50 số gọi đến 10 số gọi đi.– Khoá đường dài, di động bằng mã._ Hiển thị số gọi đến, gọi đi  Bảo hành 12 tháng chính hãngGiá bán đã bao gồm xuất hoá đơn 10% VAT Lưu ý: Điện thoại khô...",588000,588000,,0,0,21,,available,,1000,1000,,18804,Panasonic
202182043,5246263463940,"Không gian hiển thị sắc nétVivo Y35 có kích thước màn hình 6.58 inch đi cùng là tấm nền IPS LCD, độ phân giải Full HD+ với những thông số trên chất lượng hình ảnh hiển thị có chi tiết tốt, góc nhìn r...",4590000,6990000,,2400000,34,0,,available,,1000,1000,,52232,Vivo
181927801,5355086404171,"Màn hình LCD 1.6” hiển thị rõ nét, đèn màn hình màu cam.- Danh bạ lưu 50 tên và số, chia sẻ danh bạ giữa các tay con- Hiển thị 50 số gọi đến, 10 số gọi đi, 6 số gọi nhanh- Đàm thoại 3 bên- Loa ngo...",1590000,1590000,,0,0,13,,available,,1000,1000,,18804,Panasonic
